Year,Fatal (Y/N)
2018,N
2018,N
2018,N
2018,N
2018,N
2018,N
2018,N
2018,N
2018,N
2018,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2017,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2016,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,Y
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2015,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2014,N
2013,N
2013,N
2013,Y
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,UNKNOWN
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,Y
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2013,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,Y
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2012,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2011,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,Y
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,N
2010,Y
2010,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,Y
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,N
2009,Y
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,Y
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2008,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2007,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2006,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,Y
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,Y
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2005,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,Y
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
2004,Y
2004,N
2004,N
2004,N
2004,N
2004,N
2004,N
